Apple___Apple_scab/image1.JPG,1,validation
Apple___Apple_scab/image10.JPG,1,evaluation
Apple___Apple_scab/image100.JPG,1,evaluation
Apple___Apple_scab/image1000.JPG,1,training
Apple___Apple_scab/image101.JPG,1,training
Apple___Apple_scab/image102.JPG,1,training
Apple___Apple_scab/image103.JPG,1,evaluation
Apple___Apple_scab/image104.JPG,1,training
Apple___Apple_scab/image105.JPG,1,validation
Apple___Apple_scab/image106.JPG,1,training
Apple___Apple_scab/image107.JPG,1,training
Apple___Apple_scab/image108.JPG,1,evaluation
Apple___Apple_scab/image109.JPG,1,validation
Apple___Apple_scab/image11.JPG,1,evaluation
Apple___Apple_scab/image110.JPG,1,evaluation
Apple___Apple_scab/image111.JPG,1,training
Apple___Apple_scab/image112.JPG,1,training
Apple___Apple_scab/image113.JPG,1,training
Apple___Apple_scab/image114.JPG,1,evaluation
Apple___Apple_scab/image115.JPG,1,training
Apple___Apple_scab/image116.JPG,1,training
Apple___Apple_scab/image117.JPG,1,training
Apple___Apple_scab/image118.JPG,1,evaluation
Apple___Apple_scab/image119.JPG,1,training
Apple___Apple_scab/image12.JPG,1,training
Apple___Apple_scab/image120.JPG,1,training
Apple___Apple_scab/image121.JPG,1,training
Apple___Apple_scab/image122.JPG,1,training
Apple___Apple_scab/image123.JPG,1,training
Apple___Apple_scab/image124.JPG,1,training
Apple___Apple_scab/image125.JPG,1,training
Apple___Apple_scab/image126.JPG,1,training
Apple___Apple_scab/image127.JPG,1,training
Apple___Apple_scab/image128.JPG,1,validation
Apple___Apple_scab/image129.JPG,1,training
Apple___Apple_scab/image13.JPG,1,evaluation
Apple___Apple_scab/image130.JPG,1,training
Apple___Apple_scab/image131.JPG,1,training
Apple___Apple_scab/image132.JPG,1,training
Apple___Apple_scab/image133.JPG,1,training
Apple___Apple_scab/image134.JPG,1,training
Apple___Apple_scab/image135.JPG,1,training
Apple___Apple_scab/image136.JPG,1,evaluation
Apple___Apple_scab/image137.JPG,1,training
Apple___Apple_scab/image138.JPG,1,training
Apple___Apple_scab/image139.JPG,1,training
Apple___Apple_scab/image14.JPG,1,validation
Apple___Apple_scab/image140.JPG,1,training
Apple___Apple_scab/image141.JPG,1,training
Apple___Apple_scab/image142.JPG,1,evaluation
Apple___Apple_scab/image143.JPG,1,training
Apple___Apple_scab/image144.JPG,1,evaluation
Apple___Apple_scab/image145.JPG,1,training
Apple___Apple_scab/image146.JPG,1,evaluation
Apple___Apple_scab/image147.JPG,1,training
Apple___Apple_scab/image148.JPG,1,training
Apple___Apple_scab/image149.JPG,1,evaluation
Apple___Apple_scab/image15.JPG,1,training
Apple___Apple_scab/image150.JPG,1,evaluation
Apple___Apple_scab/image151.JPG,1,training
Apple___Apple_scab/image152.JPG,1,training
Apple___Apple_scab/image153.JPG,1,training
Apple___Apple_scab/image154.JPG,1,training
Apple___Apple_scab/image155.JPG,1,training
Apple___Apple_scab/image156.JPG,1,evaluation
Apple___Apple_scab/image157.JPG,1,training
Apple___Apple_scab/image158.JPG,1,training
Apple___Apple_scab/image159.JPG,1,validation
Apple___Apple_scab/image16.JPG,1,training
Apple___Apple_scab/image160.JPG,1,training
Apple___Apple_scab/image161.JPG,1,validation
Apple___Apple_scab/image162.JPG,1,training
Apple___Apple_scab/image163.JPG,1,training
Apple___Apple_scab/image164.JPG,1,training
Apple___Apple_scab/image165.JPG,1,evaluation
Apple___Apple_scab/image166.JPG,1,validation
Apple___Apple_scab/image167.JPG,1,evaluation
Apple___Apple_scab/image168.JPG,1,training
Apple___Apple_scab/image169.JPG,1,training
Apple___Apple_scab/image17.JPG,1,training
Apple___Apple_scab/image170.JPG,1,training
Apple___Apple_scab/image171.JPG,1,evaluation
Apple___Apple_scab/image172.JPG,1,training
Apple___Apple_scab/image173.JPG,1,training
Apple___Apple_scab/image174.JPG,1,training
Apple___Apple_scab/image175.JPG,1,validation
Apple___Apple_scab/image176.JPG,1,evaluation
Apple___Apple_scab/image177.JPG,1,training
Apple___Apple_scab/image178.JPG,1,validation
Apple___Apple_scab/image179.JPG,1,training
Apple___Apple_scab/image18.JPG,1,evaluation
Apple___Apple_scab/image180.JPG,1,training
Apple___Apple_scab/image181.JPG,1,training
Apple___Apple_scab/image182.JPG,1,validation
Apple___Apple_scab/image183.JPG,1,evaluation
Apple___Apple_scab/image184.JPG,1,evaluation
Apple___Apple_scab/image185.JPG,1,training
Apple___Apple_scab/image186.JPG,1,training
Apple___Apple_scab/image187.JPG,1,evaluation
Apple___Apple_scab/image188.JPG,1,training
Apple___Apple_scab/image189.JPG,1,evaluation
Apple___Apple_scab/image19.JPG,1,training
Apple___Apple_scab/image190.JPG,1,validation
Apple___Apple_scab/image191.JPG,1,training
Apple___Apple_scab/image192.JPG,1,training
Apple___Apple_scab/image193.JPG,1,training
Apple___Apple_scab/image194.JPG,1,training
Apple___Apple_scab/image195.JPG,1,training
